Month,total_snowfall_cm,max_daily_snowfall_cm,snow_days,total_precip_mm,mean_temp_c,min_temp_c,freezing_days,max_wind_kmh
2006-01-01,7.069999999999999,5.81,5,121.2,3.0580645161290323,-9.2,18,40.5
2006-02-01,17.36,14.35,3,58.9,0.625,-8.6,23,37.3
2006-03-01,1.61,1.61,1,23.099999999999998,4.603225806451612,-5.4,17,34.5
2006-04-01,0.0,0.0,0,139.6,11.206666666666667,1.7,0,28.0
2006-05-01,0.0,0.0,0,64.0,15.780645161290321,7.0,0,28.5
2006-06-01,0.0,0.0,0,243.2,21.13,10.8,0,29.9
2006-07-01,0.0,0.0,0,91.3,25.141935483870967,16.7,0,21.1
2006-08-01,0.0,0.0,0,93.3,24.125806451612902,15.6,0,20.5
2006-09-01,0.0,0.0,0,152.2,18.28666666666667,8.6,0,39.3
2006-10-01,0.0,0.0,0,108.1,12.52258064516129,0.6,0,35.3
2006-11-01,0.0,0.0,0,118.2,9.633333333333333,0.1,0,33.7
2006-12-01,0.0,0.0,0,40.4,4.987096774193549,-6.8,12,35.9
2007-01-01,3.92,1.33,8,77.8,2.5,-12.0,20,36.3
2007-02-01,16.66,8.12,6,62.4,-3.1750000000000003,-13.7,28,36.7
2007-03-01,12.25,10.43,4,115.60000000000001,3.9612903225806453,-12.2,17,33.4
2007-04-01,0.0,0.0,0,205.1,8.45,-2.7,6,32.2
2007-05-01,0.0,0.0,0,54.2,16.93548387096774,4.9,0,27.0
2007-06-01,0.0,0.0,0,56.5,21.613333333333333,12.4,0,26.5
2007-07-01,0.0,0.0,0,106.0,23.529032258064515,14.1,0,21.7
2007-08-01,0.0,0.0,0,116.0,23.377419354838707,15.1,0,22.5
2007-09-01,0.0,0.0,0,22.799999999999997,20.566666666666666,11.1,0,20.8
2007-10-01,0.0,0.0,0,82.4,16.851612903225806,4.4,0,29.5
2007-11-01,0.07,0.07,1,50.0,6.693333333333333,-3.7,5,29.3
2007-12-01,7.91,4.97,9,121.9,1.9580645161290322,-5.9,20,35.5
2008-01-01,7.21,3.36,8,48.2,1.167741935483871,-10.1,22,32.6
2008-02-01,13.58,7.7,6,152.4,1.5620689655172413,-11.6,22,34.5
2008-03-01,1.8199999999999998,1.47,2,111.0,4.806451612903226,-4.1,18,39.1
2008-04-01,0.0,0.0,0,61.2,11.229999999999999,-1.7,1,31.1
2008-05-01,0.0,0.0,0,114.39999999999999,14.458064516129031,3.3,0,34.4
2008-06-01,0.0,0.0,0,115.0,23.040000000000003,14.0,0,21.3
2008-07-01,0.0,0.0,0,82.3,24.97741935483871,17.0,0,21.1
2008-08-01,0.0,0.0,0,68.5,22.26774193548387,14.8,0,17.9
2008-09-01,0.0,0.0,0,146.2,19.94,11.4,0,33.5
2008-10-01,0.07,0.07,1,74.7,12.248387096774193,1.4,0,33.8
2008-11-01,0.21,0.21,1,76.3,6.4766666666666675,-4.6,11,30.2
2008-12-01,12.11,6.93,8,139.0,2.361290322580645,-11.8,20,34.9
2009-01-01,17.919999999999998,7.28,9,79.3,-2.8677419354838714,-14.3,30,31.1
2009-02-01,4.4799999999999995,4.27,3,22.2,1.239285714285714,-12.0,24,40.7
2009-03-01,14.42,12.32,2,53.599999999999994,4.119354838709677,-12.7,14,31.2
2009-04-01,0.0,0.0,0,69.4,10.876666666666667,-0.0,0,37.9
2009-05-01,0.0,0.0,0,98.0,16.306451612903224,5.9,0,32.5
2009-06-01,0.0,0.0,0,148.0,19.303333333333335,9.4,0,21.1
2009-07-01,0.0,0.0,0,122.8,22.364516129032257,14.2,0,22.3
2009-08-01,0.0,0.0,0,192.6,23.77741935483871,16.6,0,19.4
2009-09-01,0.0,0.0,0,77.6,18.386666666666667,10.6,0,31.7
2009-10-01,0.0,0.0,0,157.6,12.158064516129034,3.0,0,35.0
2009-11-01,0.0,0.0,0,81.39999999999999,9.29,-0.6,1,32.4
2009-12-01,21.84,9.52,4,154.0,1.203225806451613,-8.8,21,32.9
2010-01-01,2.59,0.63,6,36.400000000000006,-1.103225806451613,-10.1,28,39.2
2010-02-01,80.43,25.41,12,137.29999999999998,-1.4428571428571428,-10.1,26,33.5
2010-03-01,2.8,2.52,2,253.9,6.970967741935484,-1.7,7,45.4
2010-04-01,0.0,0.0,0,44.400000000000006,12.716666666666667,4.3,0,32.4
2010-05-01,0.0,0.0,0,40.5,17.84193548387097,5.3,0,34.6
2010-06-01,0.0,0.0,0,47.6,23.726666666666667,12.6,0,28.1
2010-07-01,0.0,0.0,0,72.89999999999999,26.41290322580645,15.6,0,22.8
2010-08-01,0.0,0.0,0,75.5,24.051612903225806,14.2,0,24.1
2010-09-01,0.0,0.0,0,76.7,21.153333333333332,10.7,0,30.0
2010-10-01,0.0,0.0,0,118.9,13.541935483870969,5.2,0,33.1
2010-11-01,0.07,0.07,1,60.900000000000006,7.213333333333334,-1.2,2,33.1
2010-12-01,18.830000000000002,11.97,4,72.6,-0.8483870967741935,-8.2,28,38.1
2011-01-01,42.77,10.71,11,82.9,-3.1838709677419357,-16.5,30,29.5
2011-02-01,6.79,2.24,5,69.7,0.14285714285714282,-12.2,22,36.5
2011-03-01,5.39,3.36,4,144.4,4.470967741935484,-6.3,14,31.2
2011-04-01,0.07,0.07,1,130.8,11.386666666666667,1.0,0,34.4
2011-05-01,0.0,0.0,0,105.2,16.98709677419355,6.7,0,26.9
2011-06-01,0.0,0.0,0,100.8,21.736666666666668,12.9,0,27.1
2011-07-01,0.0,0.0,0,62.8,25.983870967741936,16.4,0,20.4
2011-08-01,0.0,0.0,0,285.8,23.17096774193548,15.2,0,46.0
2011-09-01,0.0,0.0,0,136.9,20.223333333333336,10.7,0,24.3
2011-10-01,7.63,7.21,2,124.0,13.287096774193548,-0.0,0,32.2
2011-11-01,0.0,0.0,0,89.8,9.4,0.5,0,27.8
2011-12-01,0.21,0.21,1,99.3,4.800000000000001,-4.5,15,33.8
2012-01-01,9.24,8.19,6,69.8,1.635483870967742,-10.2,24,35.8
2012-02-01,4.41,2.8,3,37.8,3.2724137931034485,-6.0,18,38.2
2012-03-01,0.0,0.0,0,37.2,8.941935483870967,-4.0,5,31.3
2012-04-01,0.0,0.0,0,49.0,11.7,2.5,0,34.7
2012-05-01,0.0,0.0,0,93.39999999999999,17.674193548387095,8.6,0,25.0
2012-06-01,0.0,0.0,0,83.2,21.27,10.8,0,24.4
2012-07-01,0.0,0.0,0,90.7,25.57741935483871,17.8,0,21.5
2012-08-01,0.0,0.0,0,93.2,23.97741935483871,15.5,0,21.8
2012-09-01,0.0,0.0,0,101.3,19.61,10.0,0,34.9
2012-10-01,0.0,0.0,0,123.0,14.16451612903226,2.8,0,61.9
2012-11-01,16.03,12.18,3,39.6,5.073333333333333,-1.5,7,27.0
2012-12-01,5.18,3.57,3,119.4,4.448387096774193,-3.6,15,44.1
2013-01-01,6.23,2.8,6,55.1,1.0580645161290323,-10.9,20,42.0
2013-02-01,30.45,15.68,12,82.0,0.0035714285714285904,-11.5,22,32.8
2013-03-01,20.09,5.81,8,70.8,3.170967741935484,-3.0,20,34.7
2013-04-01,0.0,0.0,0,35.1,10.229999999999999,-2.3,3,27.6
2013-05-01,0.0,0.0,0,81.4,15.85483870967742,5.3,0,32.4
2013-06-01,0.0,0.0,0,203.5,21.473333333333336,11.9,0,26.9
2013-07-01,0.0,0.0,0,145.5,25.406451612903226,16.8,0,21.2
2013-08-01,0.0,0.0,0,69.3,22.29032258064516,14.2,0,25.2
2013-09-01,0.0,0.0,0,44.6,18.663333333333334,8.4,0,23.4
2013-10-01,0.0,0.0,0,48.4,14.280645161290321,2.8,0,28.2
2013-11-01,0.42,0.42,1,78.5,5.96,-5.0,10,35.9
2013-12-01,18.34,6.65,5,128.8,2.1870967741935483,-7.1,22,25.3
2014-01-01,21.0,7.42,9,65.1,-3.3129032258064517,-17.7,28,33.0
2014-02-01,61.67,22.05,12,131.3,-2.8857142857142857,-15.3,27,34.1
2014-03-01,7.140000000000001,3.43,8,79.60000000000001,1.2870967741935484,-12.6,24,34.8
2014-04-01,1.61,1.61,1,112.39999999999999,9.370000000000001,-0.5,2,31.0
2014-05-01,0.0,0.0,0,74.1,16.048387096774192,7.4,0,29.2
2014-06-01,0.0,0.0,0,71.5,21.17,10.5,0,20.9
2014-07-01,0.0,0.0,0,88.2,23.725806451612904,16.4,0,24.5
2014-08-01,0.0,0.0,0,56.2,22.177419354838708,14.6,0,20.8
2014-09-01,0.0,0.0,0,23.0,19.886666666666667,9.5,0,21.6
2014-10-01,0.0,0.0,0,108.0,14.2,4.1,0,28.4
2014-11-01,6.3,6.16,3,94.7,5.506666666666666,-5.3,10,32.9
2014-12-01,2.17,1.26,4,115.7,3.370967741935484,-5.1,16,32.5
2015-01-01,27.650000000000002,9.66,12,122.8,-2.5612903225806454,-13.9,30,30.5
2015-02-01,23.869999999999997,7.42,13,57.9,-6.671428571428572,-19.2,28,34.0
2015-03-01,30.03,10.85,8,114.2,0.8870967741935483,-14.5,25,31.7
2015-04-01,0.0,0.0,0,62.0,10.336666666666668,-1.9,2,32.1
2015-05-01,0.0,0.0,0,33.3,18.419354838709676,5.7,0,25.7
2015-06-01,0.0,0.0,0,208.79999999999998,20.673333333333336,11.0,0,24.8
2015-07-01,0.0,0.0,0,68.8,24.17096774193548,16.4,0,21.1
2015-08-01,0.0,0.0,0,39.9,24.125806451612902,16.0,0,22.1
2015-09-01,0.0,0.0,0,85.9,21.283333333333335,13.2,0,22.0
2015-10-01,0.0,0.0,0,64.89999999999999,12.709677419354838,0.6,0,28.8
2015-11-01,0.0,0.0,0,31.3,9.979999999999999,-2.7,2,27.4
2015-12-01,0.0,0.0,0,108.4,8.67741935483871,-0.9,2,27.0
2016-01-01,37.45,34.44,6,92.2,-0.5129032258064516,-10.1,27,37.8
2016-02-01,15.120000000000001,8.96,7,87.0,1.7448275862068967,-17.7,19,35.4
2016-03-01,6.79,3.15,3,33.0,7.690322580645161,-3.7,8,33.8
2016-04-01,0.7000000000000001,0.28,3,66.3,10.083333333333334,-3.5,3,40.6
2016-05-01,0.0,0.0,0,96.7,15.40967741935484,5.2,0,32.0
2016-06-01,0.0,0.0,0,61.300000000000004,21.45,11.7,0,28.0
2016-07-01,0.0,0.0,0,140.4,25.25483870967742,16.4,0,19.7
2016-08-01,0.0,0.0,0,48.1,25.074193548387097,15.0,0,20.4
2016-09-01,0.0,0.0,0,72.0,21.08,11.5,0,27.0
2016-10-01,0.0,0.0,0,75.2,13.974193548387097,2.8,0,30.8
2016-11-01,0.14,0.14,1,71.3,8.256666666666666,-1.4,2,34.0
2016-12-01,4.55,4.06,4,67.8,2.0999999999999996,-6.9,22,32.9
2017-01-01,8.61,5.39,7,110.6,2.7161290322580647,-11.1,12,45.3
2017-02-01,18.62,16.17,4,53.300000000000004,4.05,-8.9,17,45.1
2017-03-01,36.05,28.98,6,129.5,3.22258064516129,-9.0,17,54.9
2017-04-01,0.0,0.0,0,104.7,12.256666666666666,2.9,0,41.7
2017-05-01,0.0,0.0,0,136.0,15.22258064516129,7.0,0,36.9
2017-06-01,0.0,0.0,0,68.7,21.209999999999997,11.3,0,30.3
2017-07-01,0.0,0.0,0,183.1,23.84193548387097,16.8,0,38.9
2017-08-01,0.0,0.0,0,110.3,22.654838709677417,16.6,0,27.9
2017-09-01,0.0,0.0,0,50.8,20.526666666666664,13.1,0,33.7
2017-10-01,0.0,0.0,0,117.5,17.048387096774192,7.4,0,48.8
2017-11-01,0.0,0.0,0,38.0,8.163333333333334,-3.3,4,40.0
2017-12-01,11.83,7.28,7,58.5,1.7451612903225804,-11.6,14,44.7
2018-01-01,19.46,14.98,4,83.39999999999999,-0.7096774193548386,-16.4,24,56.5
2018-02-01,8.75,5.88,4,178.5,4.6499999999999995,-8.0,13,36.7
2018-03-01,59.15,19.32,11,141.5,3.364516129032258,-4.1,19,54.3
2018-04-01,8.89,8.68,2,117.60000000000001,8.266666666666667,-1.3,3,64.5
2018-05-01,0.0,0.0,0,112.7,17.448387096774194,6.3,0,33.4
2018-06-01,0.0,0.0,0,95.1,20.676666666666666,12.1,0,34.4
2018-07-01,0.0,0.0,0,116.8,24.183870967741935,16.6,0,43.2
2018-08-01,0.0,0.0,0,172.70000000000002,24.94516129032258,16.9,0,29.9
2018-09-01,0.0,0.0,0,279.7,21.293333333333333,13.5,0,35.5
2018-10-01,0.0,0.0,0,113.8,14.406451612903227,3.1,0,43.8
2018-11-01,10.22,9.31,3,174.4,6.933333333333334,-7.5,5,55.7
2018-12-01,0.98,0.56,3,145.6,4.067741935483871,-3.6,14,40.6
2019-01-01,3.29,1.54,5,98.4,0.3645161290322581,-15.8,21,47.6
2019-02-01,10.43,5.25,5,88.19999999999999,1.4607142857142856,-11.3,21,47.5
2019-03-01,28.0,12.6,6,108.6,3.9967741935483874,-9.3,17,38.8
2019-04-01,0.0,0.0,0,107.3,11.53,-0.3,1,42.5
2019-05-01,0.0,0.0,0,145.5,15.848387096774195,6.8,0,36.2
2019-06-01,0.0,0.0,0,129.7,21.08,12.3,0,32.6
2019-07-01,0.0,0.0,0,105.1,25.532258064516128,18.2,0,26.8
